FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,COICOP_CATEG,Gruppo di spesa,PURCH_BEHAVIOUR,Abitudine di spesa,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_COICOP_CATEG,Gruppo di spesa (NOTE_COICOP_CATEG),NOTE_PURCH_BEHAVIOUR,Abitudine di spesa (NOTE_PURCH_BEHAVIOUR),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),FOOD,Cibi,SAME_QN_QL,Un anno fa li compravo e continuo a comprarli senza modifiche,2024,67.1,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),FOOD,Cibi,LESS_QN_QL,Un anno fa li compravo e ho limitato la spesa in quantità  e/o qualità,2024,31,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),FOOD,Cibi,MR_QN_BT_QL,Un anno fa li compravo e ho aumentato la spesa in quantità  e/o qualità,2024,1.6,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),FOOD,Cibi,NO_PRC1Y,Un anno fa non li compravo e ho iniziato a comprarli,2024,0.1,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),FOOD,Cibi,NO_PRC,Un anno fa non li compravo e continuo a non comprarli,2024,0.3,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),FOOD,Cibi,ALL,Tutte le voci,2024,100,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),BEVER,Bevande,SAME_QN_QL,Un anno fa li compravo e continuo a comprarli senza modifiche,2024,61,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),BEVER,Bevande,LESS_QN_QL,Un anno fa li compravo e ho limitato la spesa in quantità  e/o qualità,2024,33.8,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),BEVER,Bevande,MR_QN_BT_QL,Un anno fa li compravo e ho aumentato la spesa in quantità  e/o qualità,2024,1,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
A,Annuale,IT,Italia,FAM_VAL_PERC,Famiglie (composizione %),BEVER,Bevande,NO_PRC1Y,Un anno fa non li compravo e ho iniziato a comprarli,2024,0.1,,,,,,,,,,,TIME_PERIOD__2024_N1,'Le stime 2024 sono state prodotte utilizzando, per il secondo semestre dell’anno, i microdati rilevati nello stesso periodo del 2023, aggiornati sulla base di informazioni provenienti da altre fonti (in primis Contabilità Nazionale).',,,,,,
